$ROINumber;$Scan;$XPos;$XRange;$YPos;$YRange;$ZPos;$ZRange;
1;C0001406_SEG_UNCOMP;250;87;78;87;362;87;
2;C0001406_SEG_UNCOMP;322;87;221;87;353;87;
3;C0001406_SEG_UNCOMP;350;87;140;87;370;87;
4;C0001406_SEG_UNCOMP;226;87;235;87;380;87;
5;C0001406_SEG_UNCOMP;238;87;270;87;395;87;
6;C0001406_SEG_UNCOMP;328;87;264;87;384;87;
1;C0001415_SEG_UNCOMP;371;87;248;87;357;87;
2;C0001415_SEG_UNCOMP;491;87;207;87;341;87;
3;C0001415_SEG_UNCOMP;337;87;215;87;354;87;
4;C0001415_SEG_UNCOMP;322;87;267;87;383;87;
5;C0001415_SEG_UNCOMP;420;87;173;87;394;87;
6;C0001415_SEG_UNCOMP;451;87;174;87;376;87;
1;C0001421_SEG_UNCOMP;574;87;164;87;345;87;
2;C0001421_SEG_UNCOMP;284;87;332;87;373;87;
3;C0001421_SEG_UNCOMP;228;87;159;87;356;87;
4;C0001421_SEG_UNCOMP;395;87;16;87;390;87;
5;C0001421_SEG_UNCOMP;458;87;51;87;384;87;
6;C0001421_SEG_UNCOMP;274;87;224;87;391;87;
1;C0001427_SEG_UNCOMP;490;87;294;87;357;87;
2;C0001427_SEG_UNCOMP;583;87;182;87;349;87;
3;C0001427_SEG_UNCOMP;309;87;164;87;348;87;
4;C0001427_SEG_UNCOMP;359;87;314;87;390;87;
5;C0001427_SEG_UNCOMP;386;87;78;87;382;87;
6;C0001427_SEG_UNCOMP;573;87;325;87;402;87;
1;C0001433_SEG_UNCOMP;266;87;234;87;373;87;
2;C0001433_SEG_UNCOMP;414;87;5;87;347;87;
3;C0001433_SEG_UNCOMP;317;87;105;87;355;87;
4;C0001433_SEG_UNCOMP;558;87;172;87;395;87;
5;C0001433_SEG_UNCOMP;550;87;317;87;389;87;
6;C0001433_SEG_UNCOMP;532;87;274;87;395;87;
1;C0001439_SEG_UNCOMP;375;87;163;87;350;87;
2;C0001439_SEG_UNCOMP;321;87;334;87;345;87;
3;C0001439_SEG_UNCOMP;428;87;221;87;372;87;
4;C0001439_SEG_UNCOMP;373;87;298;87;404;87;
5;C0001439_SEG_UNCOMP;375;87;200;87;396;87;
6;C0001439_SEG_UNCOMP;241;87;209;87;404;87;
1;C0001511_SEG_UNCOMP;593;87;249;87;347;87;
2;C0001511_SEG_UNCOMP;659;87;232;87;372;87;
3;C0001511_SEG_UNCOMP;592;87;158;87;353;87;
4;C0001511_SEG_UNCOMP;475;87;329;87;378;87;
5;C0001511_SEG_UNCOMP;339;87;444;87;377;87;
6;C0001511_SEG_UNCOMP;592;87;303;87;406;87;
1;C0001523_SEG_UNCOMP;346;87;150;87;346;87;
2;C0001523_SEG_UNCOMP;509;87;389;87;348;87;
3;C0001523_SEG_UNCOMP;509;87;365;87;363;87;
4;C0001523_SEG_UNCOMP;252;87;195;87;381;87;
5;C0001523_SEG_UNCOMP;527;87;283;87;399;87;
6;C0001523_SEG_UNCOMP;406;87;365;87;403;87;
