$ROINumber;$Scan;$XPos;$XRange;$YPos;$YRange;$ZPos;$ZRange;
1;350406_C0000147_SEG_UNCOMP;353;87;405;87;8;87;
2;350406_C0000147_SEG_UNCOMP;155;87;382;87;2;87;
3;350406_C0000147_SEG_UNCOMP;442;87;278;87;11;87;
4;350406_C0000147_SEG_UNCOMP;203;87;351;87;75;87;
5;350406_C0000147_SEG_UNCOMP;100;87;236;87;59;87;
6;350406_C0000147_SEG_UNCOMP;93;87;183;87;78;87;
1;310101_C0000118_SEG_UNCOMP;228;87;208;87;15;87;
2;310101_C0000118_SEG_UNCOMP;194;87;134;87;9;87;
3;310101_C0000118_SEG_UNCOMP;318;87;219;87;1;87;
4;310101_C0000118_SEG_UNCOMP;309;87;142;87;61;87;
5;310101_C0000118_SEG_UNCOMP;230;87;80;87;69;87;
6;310101_C0000118_SEG_UNCOMP;207;87;221;87;80;87;
1;310201_C0000160_SEG_UNCOMP;326;87;168;87;15;87;
2;310201_C0000160_SEG_UNCOMP;310;87;231;87;21;87;
3;310201_C0000160_SEG_UNCOMP;227;87;323;87;25;87;
4;310201_C0000160_SEG_UNCOMP;331;87;209;87;77;87;
5;310201_C0000160_SEG_UNCOMP;318;87;182;87;78;87;
6;310201_C0000160_SEG_UNCOMP;321;87;233;87;77;87;
1;350104_C0000094_SEG_UNCOMP;173;87;330;87;4;87;
2;350104_C0000094_SEG_UNCOMP;98;87;319;87;27;87;
3;350104_C0000094_SEG_UNCOMP;389;87;322;87;38;87;
4;350104_C0000094_SEG_UNCOMP;266;87;277;87;73;87;
5;350104_C0000094_SEG_UNCOMP;335;87;236;87;45;87;
6;350104_C0000094_SEG_UNCOMP;399;87;275;87;73;87;
1;350201_C0000066_SEG_UNCOMP;146;87;362;87;22;87;
2;350201_C0000066_SEG_UNCOMP;127;87;395;87;24;87;
3;350201_C0000066_SEG_UNCOMP;340;87;201;87;1;87;
4;350201_C0000066_SEG_UNCOMP;218;87;56;87;42;87;
5;350201_C0000066_SEG_UNCOMP;320;87;410;87;79;87;
6;350201_C0000066_SEG_UNCOMP;92;87;351;87;47;87;
1;350202_C0000070_SEG_UNCOMP;251;87;337;87;7;87;
2;350202_C0000070_SEG_UNCOMP;323;87;242;87;10;87;
3;350202_C0000070_SEG_UNCOMP;110;87;163;87;26;87;
4;350202_C0000070_SEG_UNCOMP;175;87;214;87;64;87;
5;350202_C0000070_SEG_UNCOMP;137;87;61;87;60;87;
6;350202_C0000070_SEG_UNCOMP;277;87;306;87;54;87;
1;350203_C0000099_SEG_UNCOMP;455;87;418;87;37;87;
2;350203_C0000099_SEG_UNCOMP;489;87;277;87;26;87;
3;350203_C0000099_SEG_UNCOMP;136;87;221;87;23;87;
4;350203_C0000099_SEG_UNCOMP;122;87;306;87;43;87;
5;350203_C0000099_SEG_UNCOMP;168;87;336;87;54;87;
6;350203_C0000099_SEG_UNCOMP;329;87;430;87;67;87;
1;350205_C0000112_SEG_UNCOMP;142;87;324;87;22;87;
2;350205_C0000112_SEG_UNCOMP;228;87;422;87;21;87;
3;350205_C0000112_SEG_UNCOMP;117;87;367;87;32;87;
4;350205_C0000112_SEG_UNCOMP;98;87;274;87;53;87;
5;350205_C0000112_SEG_UNCOMP;242;87;259;87;75;87;
6;350205_C0000112_SEG_UNCOMP;413;87;237;87;78;87;
1;350206_C0000126_SEG_UNCOMP;105;87;134;87;5;87;
2;350206_C0000126_SEG_UNCOMP;344;87;202;87;26;87;
3;350206_C0000126_SEG_UNCOMP;92;87;193;87;21;87;
4;350206_C0000126_SEG_UNCOMP;105;87;198;87;73;87;
5;350206_C0000126_SEG_UNCOMP;229;87;296;87;46;87;
6;350206_C0000126_SEG_UNCOMP;217;87;256;87;43;87;
1;350208_C0000141_SEG_UNCOMP;348;87;153;87;25;87;
2;350208_C0000141_SEG_UNCOMP;344;87;142;87;37;87;
3;350208_C0000141_SEG_UNCOMP;176;87;269;87;23;87;
4;350208_C0000141_SEG_UNCOMP;88;87;167;87;65;87;
5;350208_C0000141_SEG_UNCOMP;71;87;191;87;73;87;
6;350208_C0000141_SEG_UNCOMP;175;87;250;87;60;87;
1;350302_C0000111_SEG_UNCOMP;247;87;334;87;10;87;
2;350302_C0000111_SEG_UNCOMP;160;87;259;87;20;87;
3;350302_C0000111_SEG_UNCOMP;390;87;282;87;18;87;
4;350302_C0000111_SEG_UNCOMP;249;87;309;87;78;87;
5;350302_C0000111_SEG_UNCOMP;252;87;147;87;49;87;
6;350302_C0000111_SEG_UNCOMP;418;87;140;87;48;87;
1;350303_C0000153_SEG_UNCOMP;286;87;193;87;13;87;
2;350303_C0000153_SEG_UNCOMP;137;87;227;87;7;87;
3;350303_C0000153_SEG_UNCOMP;82;87;201;87;29;87;
4;350303_C0000153_SEG_UNCOMP;85;87;193;87;48;87;
5;350303_C0000153_SEG_UNCOMP;136;87;78;87;71;87;
6;350303_C0000153_SEG_UNCOMP;119;87;294;87;73;87;
1;350402_C0000050_SEG_UNCOMP;142;87;222;87;11;87;
2;350402_C0000050_SEG_UNCOMP;160;87;177;87;15;87;
3;350402_C0000050_SEG_UNCOMP;237;87;226;87;29;87;
4;350402_C0000050_SEG_UNCOMP;141;87;155;87;51;87;
