BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3,Variation Coefficient
0.2152,1.915,272.87944664712535,426.89369192014505,1084.5212687025746,144.0572715772467,275.3060113224855,175.08840084032403,0.22234370590514616,0.07412894597061959,0.11647766758098288,1,C0001406_SEG_UNCOMP,0.6583,1.08107,1.26062,0.21088264366362552
0.1363,1.6780000000000002,382.22563316083705,354.1558305067189,1032.1232527664556,140.42878013203708,245.87937654081176,216.8435135725445,0.2484458747323904,0.10403821649800883,0.11345958998886205,2,C0001406_SEG_UNCOMP,0.73725,1.02583,1.23692,0.1853910455683938
0.1801,1.531,428.3828847750579,305.8916907563556,1018.8675892541963,142.60931796722255,224.19520944397718,241.10406533229028,0.2888403449964819,0.1135290822907954,0.10669570283480403,3,C0001406_SEG_UNCOMP,0.83216,0.8938,1.27404,0.18845118921221146
0.1989,1.6440000000000001,435.6778255704341,283.06051067461226,1118.7318304846642,137.00571603905837,188.54623811367063,250.58762814910992,0.32933322502863505,0.11100691773214152,0.07030687905928754,4,C0001406_SEG_UNCOMP,0.75473,1.00443,1.24084,0.21424491867608175
0.1927,1.705,443.4293557553264,273.98100198842087,1113.8707665836225,137.96288072845718,183.91266706634755,256.15175494262587,0.3435197980042891,0.11207317460378552,0.06931955103376126,5,C0001406_SEG_UNCOMP,0.75295,0.9636,1.28346,0.221315128847254
0.1446,1.7469999999999999,322.57918423195997,382.6759173274658,1092.594423663289,141.4823365007833,250.58527256351246,199.0759320148782,0.24582151468281155,0.09043901191811804,0.09946897785694456,6,C0001406_SEG_UNCOMP,0.7216600000000001,1.01785,1.2605,0.2551178793926466
0.156,1.962,451.18229731074166,263.2640152678627,1068.594197266459,142.3378231985585,186.3117942815804,266.5493633764418,0.3599077393134646,0.11414443760330685,0.07986024404454511,1,C0001415_SEG_UNCOMP,0.6611100000000001,1.04199,1.2969,0.35849130547060243
0.2162,2.002,428.74956350349447,283.0379391846276,1074.0456465161833,140.75704898967746,193.4180819049223,260.396173440373,0.3257735508932893,0.12278670721914205,0.0750244084928164,2,C0001415_SEG_UNCOMP,0.6702199999999999,0.9882299999999999,1.34155,0.27961612014574305
0.264,1.962,411.39979297349447,304.1885835531724,1119.522126229272,136.8417074383736,201.72741613744552,238.9336261189777,0.3055432051623949,0.10689868371049788,0.07525705327261399,3,C0001415_SEG_UNCOMP,0.67672,0.99561,1.3276700000000001,0.25811286401409944
0.3025,1.911,443.67640377739366,271.10189964570833,1072.1875680885942,140.06014080390437,187.59444232157003,266.39986397860037,0.3419995398765134,0.11984978862033575,0.07683521503776525,4,C0001415_SEG_UNCOMP,0.67396,1.03801,1.28803,0.4001038690195137
0.1131,1.6769999999999998,322.6294755665752,388.501945426071,1092.0806977483755,141.09077682186546,255.5637559235009,192.74221258393268,0.23991665005605245,0.08579449213689913,0.10535105712660922,5,C0001415_SEG_UNCOMP,0.77115,0.93555,1.2933,0.5253558424215165
0.1708,1.661,448.99521912452866,255.12596000576733,1055.4313279635737,145.07422599995633,180.1636499904855,277.582767826878,0.3674777517394929,0.12593575604693102,0.07472742246893277,6,C0001415_SEG_UNCOMP,0.7822399999999999,0.91838,1.29938,0.3899838896009714
0.1624,1.932,456.0085733275661,255.98768763870555,1013.0608603150412,148.27942911349155,182.35532150726291,284.8074934108599,0.3652005618731994,0.13562662299286368,0.07990124385476806,1,C0001421_SEG_UNCOMP,0.6792199999999999,1.00852,1.31227,0.2974052527623887
0.2442,1.942,439.0749207516532,254.7413821575741,1114.1170768438396,141.8271681473852,166.81235008183538,276.0861195614204,0.3774847308881678,0.11456484947316554,0.06452166626806755,2,C0001421_SEG_UNCOMP,0.69914,0.94324,1.35762,0.13224664985857773
