BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3,Variation Coefficient
0.2152,1.915,187.90726936516091,525.3742078663431,884.377528578094,117.39311310438332,285.6075776315598,127.74000019107449,0.13523754106555316,0.07305573874431669,0.1599224416873616,1,C0001406_SEG_UNCOMP,0.6583,1.08107,1.26062,0.21088264366362552
0.1363,1.6780000000000002,119.33868534934939,226.90446039935568,402.7472100438822,57.354209362724816,122.92065204181438,59.68212019168706,0.14908943458865978,0.06234658320522141,0.156779231256133,2,C0001406_SEG_UNCOMP,0.73725,1.02583,1.23692,0.1853910455683938
0.1801,1.531,211.2215355643246,248.3906508321784,697.7766493285469,96.21618348227925,138.1974612187854,139.7844342710863,0.2737146388298013,0.10139312392371456,0.08262667078656752,3,C0001406_SEG_UNCOMP,0.83216,0.8938,1.27404,0.18845118921221146
0.1989,1.6440000000000001,228.46109585359244,455.44385421857817,837.330147849789,127.13433489018736,206.22327797776938,124.82654561167341,0.1769347173730994,0.07162783414497631,0.11510430174780965,4,C0001406_SEG_UNCOMP,0.75473,1.00443,1.24084,0.21424491867608175
0.1927,1.705,239.2475800546569,401.3800524854746,866.0231230540718,98.47006410209177,186.23471476042724,121.77698798862127,0.1631364298321485,0.07406141796025607,0.09824176751520126,5,C0001406_SEG_UNCOMP,0.75295,0.9636,1.28346,0.221315128847254
0.1446,1.7469999999999999,144.36392297755413,255.60290914659768,549.4311246751478,71.57728950596159,140.6107693920857,67.31801375595371,0.17663566091385946,0.0448528108421331,0.12753069829704253,6,C0001406_SEG_UNCOMP,0.7216600000000001,1.01785,1.2605,0.2551178793926466
0.4102,1.5530000000000002,1708.8936990618095,1979.610576620309,2477.522328682181,703.5657540119446,728.2851321872008,614.6125595617955,0.24423706203272996,0.1425873315366533,0.16509809915211016,1,C0001415_SEG_UNCOMP,0.81208,0.92715,1.2607700000000002,0.24604060203254047
0.44799999999999995,1.679,1564.4836609170911,2075.7413044393593,2931.6406744398055,682.2611851568226,914.3793066542228,670.3004438312778,0.2312895594389673,0.11915852551713338,0.17313049791454135,2,C0001415_SEG_UNCOMP,0.7592300000000001,0.96611,1.2746600000000001,0.25587604784799695
0.4141,1.399,1458.6074382418265,1945.0208439351507,2668.195185640337,683.9020333943001,867.6528898741051,664.7600922851636,0.2369360976113361,0.13422981159236094,0.17831243551283385,3,C0001415_SEG_UNCOMP,0.85308,0.95325,1.19367,0.13254531353211607
0.3452,1.7530000000000001,898.6272969342497,1389.8649666976398,2107.180383818758,376.4954790003709,622.3447527554333,389.3834408902079,0.19696948445806284,0.09803278946690784,0.16352560514478234,4,C0001415_SEG_UNCOMP,0.72578,1.0019200000000001,1.2723,0.11723847267236899
