BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3,Variation Coefficient
0.1368,2.502,53.22425969953887,256.3335704090361,591.0517845137717,42.599357631927965,170.90377530435978,46.6253053420331,0.10785065200043953,0.036137665911233116,0.12367534253522194,1,C0001814_SEG_UNCOMP,0.55462,1.05771,1.38768,0.2945933580094859
0.0556,1.809,16.521810356946947,29.77252450462891,69.05551597103495,7.759261101974891,15.893447593518095,9.326048835338575,0.1392925199247449,0.06536066064102074,0.0988879626941331,2,C0001814_SEG_UNCOMP,0.74288,0.91343,1.34369,0.24523681903295966
0.1528,2.257,120.78151169987393,247.0200087450237,693.4366183673482,60.081417305409424,142.7786913560806,78.8953768630003,0.16145707350733582,0.05251213302014625,0.09462246284037226,3,C0001814_SEG_UNCOMP,0.64477,0.9001100000000001,1.45512,0.3490171382344112
0.1882,2.125,189.26233555988262,204.4756478755056,1121.3000007429446,98.52217685842254,172.35440329057158,153.37643669597705,0.33352539966647266,0.05320500753743079,0.05501386300501093,4,C0001814_SEG_UNCOMP,0.7146399999999999,0.76708,1.51828,0.18709372324071666
0.129,2.233,54.40004335784249,246.25870382989442,455.10856834831213,39.00517593130044,134.19503186607724,39.2715889117501,0.09846290215061836,0.0423999383409542,0.14133064348070928,5,C0001814_SEG_UNCOMP,0.5919399999999999,1.08634,1.32172,0.35340303100418796
0.1921,2.282,193.14446412208767,366.7883331243617,1084.3223575669283,98.5887891235552,216.9842014535524,144.52985166734356,0.17260487139609124,0.05958737937492345,0.0887977991273175,6,C0001814_SEG_UNCOMP,0.65399,0.8535299999999999,1.49248,0.3604891665065151
0.2526,2.299,349.08287790915665,845.6792260297934,1783.3936037773974,216.40187229672887,497.9560262196069,243.99080811570252,0.2176279522085416,0.059706104654277815,0.1293228807780161,1,C0001862_SEG_UNCOMP,0.61452,0.97258,1.41289,0.1481718035663435
0.2934,2.296,509.81297059492204,917.5025473572913,2121.601362743259,266.53105027395964,562.9124106602492,332.3433685162147,0.2416290842564409,0.0662216645323943,0.12094586966670352,2,C0001862_SEG_UNCOMP,0.63736,0.8992100000000001,1.46343,0.15726894490573154
0.2306,2.046,360.362568586182,593.1002603104413,1553.0516616220154,204.8638740099868,361.6673575625537,248.31442193991413,0.2944362637030845,0.06711841491729678,0.09916556780978032,3,C0001862_SEG_UNCOMP,0.69743,0.87565,1.42693,0.1977010667459164
0.3275,2.303,597.929818574529,1274.385272801908,2433.91290879221,301.45764489131125,742.2728197205763,378.5184989929565,0.20684986595057656,0.07468302609545696,0.14800867461862108,4,C0001862_SEG_UNCOMP,0.62616,0.93176,1.44208,0.16526585574299746
