ROI Number,Scan,BV/TV,SMI,Mean Tb N,Mean Tb Sp,Std Tb Sp,Min Tb Sp,Max Tb Sp,Mean Tb Th,Std Tb Th,Min Tb Th,Max Tb Th,Coefficient of Variation,Degree of Anisotropy
1,C0001406_SEG_UNCOMP,0.21515558378507546,0.008891018310228406,0.916683544896,0.7995098683849999,0.234191776435,0.121399998665,1.46184957027,0.291379136406,0.0748059703714,0.121399998665,0.569416463375,0.21088264366362552,1.915
2,C0001406_SEG_UNCOMP,0.1363134692542795,0.049454772816724,0.761623763586,1.04859467218,0.337157031706,0.121399998665,2.08157634735,0.264389569925,0.06591649891080001,0.121399998665,0.515056550503,0.1853910455683938,1.678
3,C0001406_SEG_UNCOMP,0.18013665463418316,0.027592846454846585,0.8116950785349999,0.947783030983,0.34994841201800003,0.121399998665,2.09920215607,0.284206698221,0.0693851858297,0.121399998665,0.500545024872,0.18845118921221146,1.531
4,C0001406_SEG_UNCOMP,0.19894160262618388,0.02492408257265779,0.809595228989,0.925013694398,0.284049826824,0.121399998665,1.9156596660599998,0.310171450219,0.0810420604985,0.121399998665,0.556324720383,0.21424491867608175,1.644
5,C0001406_SEG_UNCOMP,0.19267328662885028,0.021718082927734403,0.816969938212,0.9219420541660001,0.280053021872,0.121399998665,1.75505936146,0.30209319269900003,0.0826633085925,0.121399998665,0.686742067337,0.221315128847254,1.705
6,C0001406_SEG_UNCOMP,0.14459733105261174,0.04131455221468031,0.745169804695,1.06964902749,0.37038233970299994,0.121399998665,2.31934356689,0.272326980794,0.0698177220527,0.121399998665,0.515056550503,0.2551178793926466,1.747
1,C0001421_SEG_UNCOMP,0.16243852742525816,0.028968964882296763,0.756246567586,1.04482662777,0.46301405558700004,0.121399998665,3.0855667591100002,0.277493423466,0.0643665120667,0.121399998665,0.454237222672,0.2974052527623887,1.932
2,C0001421_SEG_UNCOMP,0.2442332121699977,-0.015344368561352397,0.856564280801,0.8536759455769999,0.24635485946999996,0.121399998665,1.40530657768,0.313778759707,0.08310594965780001,0.121399998665,0.606999993324,0.13224664985857773,1.942
3,C0001421_SEG_UNCOMP,0.33362628447809634,-0.07238777191744461,0.94694084543,0.717185784171,0.21847322005199998,0.121399998665,1.2200548648799998,0.3388463902,0.09295163512310001,0.121399998665,0.9787580966949999,0.09562707285033274,2.359
4,C0001421_SEG_UNCOMP,0.3019796999006377,-0.04879373362859425,1.0053531551700001,0.687370819229,0.204911498105,0.121399998665,1.24988949299,0.30730452928199997,0.07042878930369999,0.121399998665,0.542917311192,0.13793321658415394,2.181
5,C0001421_SEG_UNCOMP,0.1863971096884551,0.013790571174096893,0.8461386690739999,0.9114612698000001,0.301819932575,0.121399998665,1.71685528755,0.270378110137,0.06189456087859999,0.121399998665,0.515056550503,0.26462657300663817,2.09
6,C0001421_SEG_UNCOMP,0.33085766033179465,-0.051751397590847584,0.932023745678,0.708170068723,0.19073422024099998,0.121399998665,1.3627115488100001,0.364763968245,0.09901724222960001,0.121399998665,0.7182121276860001,0.1833497438365701,2.192
1,C0001511_SEG_UNCOMP,0.26570144767127424,-0.03939275907072615,0.8801527783130001,0.8422327399510001,0.269519049137,0.121399998665,1.75085568428,0.293933644613,0.0585937097096,0.121399998665,0.500545024872,0.13256901755687572,1.782
2,C0001511_SEG_UNCOMP,0.29831178386808715,-0.057754467218627814,0.942733412762,0.754352231977,0.207557819114,0.121399998665,1.26162576675,0.30639302905099997,0.0665531651634,0.121399998665,0.606999993324,0.0844723955523423,2.083
3,C0001511_SEG_UNCOMP,0.27367716050159097,-0.03602668608809497,0.950374129622,0.756153162666,0.201203310632,0.121399998665,1.37348413467,0.296064031417,0.0665818998122,0.121399998665,0.556324720383,0.09173365198801035,1.947
4,C0001511_SEG_UNCOMP,0.2174839951199266,0.0004685735422799286,0.8114532493709999,0.930795918733,0.288637376097,0.121399998665,1.85309052467,0.301560967847,0.07001686350889999,0.121399998665,0.606999993324,0.11582679497855966,1.798
5,C0001511_SEG_UNCOMP,0.3921855937213075,-0.10697399281294064,1.01874232481,0.6291354413920001,0.17881136941599998,0.121399998665,1.29049968719,0.352467045951,0.08498774281739999,0.121399998665,0.630812883377,0.1254965769315982,1.852
6,C0001511_SEG_UNCOMP,0.2350563472398657,-0.028354581960677794,0.823974347844,0.925356012508,0.279654392758,0.121399998665,1.86892914772,0.28827400233,0.0625048774132,0.121399998665,0.515056550503,0.16193161190308208,1.674
1,C0001534_SEG_UNCOMP,0.1918478876073806,0.02261121740402553,0.895138067028,0.838169637655,0.24987337686299999,0.121399998665,1.63777554035,0.278976461739,0.06706612046730001,0.121399998665,0.569416463375,0.18552121924867387,1.923
2,C0001534_SEG_UNCOMP,0.1399971071729533,0.04140258611561299,0.756154950598,1.0695712018899999,0.5665974462210001,0.121399998665,2.6514160633099997,0.252909063836,0.0708931352129,0.121399998665,0.500545024872,0.4018529965692317,1.973
3,C0001534_SEG_UNCOMP,0.17389349365464685,0.053294777553705264,0.711368304914,0.956536849792,0.28674626749000004,0.121399998665,1.8846347332,0.44920472330399996,0.342357133344,0.121399998665,1.3627115488100001,0.26583838321620445,1.728
4,C0001534_SEG_UNCOMP,0.3437716175934195,-0.06539209320962787,1.01696509395,0.642034625842,0.216705729027,0.121399998665,1.4967197179799998,0.34128329328,0.0951717760922,0.121399998665,0.697389900684,0.1918183289433155,2.045
5,C0001534_SEG_UNCOMP,0.15782729822531355,0.05047251025232196,0.792102782551,0.947764995491,0.271685784342,0.121399998665,2.13401722908,0.314697429877,0.171764097685,0.121399998665,0.9862582683560001,0.18271100580253852,1.878
6,C0001534_SEG_UNCOMP,0.2914696190272554,-0.03463592008890767,0.9846544352240001,0.697920788587,0.22031063356,0.121399998665,1.4668817520100002,0.317663932537,0.08352157806680001,0.121399998665,0.7483598589899999,0.2498262504857449,2.095
1,C0001546_SEG_UNCOMP,0.17760857534556704,0.03437601837968656,0.8225381662029999,0.9355846088519999,0.35292945849299995,0.121399998665,2.0241425037400003,0.280164448261,0.06628393055930001,0.121399998665,0.500545024872,0.26295102884453747,2.095
2,C0001546_SEG_UNCOMP,0.1861156879268492,0.03654989096379031,0.725249194491,1.08072650528,0.808300352906,0.121399998665,3.6882429122900002,0.29810991066500003,0.0759770307041,0.121399998665,0.569416463375,0.282564260360012,1.938
3,C0001546_SEG_UNCOMP,0.0921003810985196,0.07519261525025947,0.461512843336,1.90504717121,1.29073330668,0.121399998665,4.2697606086699995,0.261739765364,0.0658713869863,0.121399998665,0.48559999465899994,0.40351570022307365,1.75
4,C0001546_SEG_UNCOMP,0.07653256945929289,0.07165609354800406,0.293010389002,3.1480365309700002,2.49325983225,0.121399998665,6.869566440580001,0.264811741769,0.0626628924475,0.121399998665,0.500545024872,0.6237009048377532,1.929
5,C0001546_SEG_UNCOMP,0.061643943300589914,0.10379477213691926,0.506490677488,1.72713222974,0.7469508557790001,0.121399998665,3.2439024448400002,0.247237772405,0.05461157020309999,0.121399998665,0.40263825655,0.3585995123054245,1.706
6,C0001546_SEG_UNCOMP,0.04689838630560831,0.08181679635538466,0.189232624417,5.0260014898300005,3.13077357936,0.121399998665,8.24448108673,0.258499547343,0.0581265383737,0.121399998665,0.42054191231700006,0.7497576508806956,1.839
1,C0001552_SEG_UNCOMP,0.11274636195555104,0.057635883242839935,0.6266134036909999,1.34963169481,0.797997248017,0.121399998665,3.39486145973,0.24624862646600001,0.0623653189394,0.121399998665,0.48559999465899994,0.35353393122092003,1.924
2,C0001552_SEG_UNCOMP,0.2583970593784196,-0.008566847500323549,0.8846066262019999,0.800357966474,0.223887046406,0.121399998665,1.4312849044799998,0.33008800846999997,0.103249512063,0.121399998665,0.796073019505,0.26252424088938675,2.014
3,C0001552_SEG_UNCOMP,0.07829342070509514,0.07876279612385584,0.44269365672100003,2.0235565330500003,1.5824211425699999,0.121399998665,5.38830041885,0.23534188308,0.0560952429875,0.121399998665,0.48559999465899994,0.4634889884601389,1.801
4,C0001552_SEG_UNCOMP,0.22135629567207912,0.003502809694651238,0.9001587980769999,0.823722606328,0.25424024401399997,0.121399998665,2.0637998580900003,0.28719249236,0.075053636296,0.121399998665,0.594736099243,0.24155414078055804,1.901
5,C0001552_SEG_UNCOMP,0.0935923880916146,0.08441248947787247,0.6345632134929999,1.3320972164,0.70038088365,0.121399998665,3.4848356246900005,0.24378991152600002,0.0575982334428,0.121399998665,0.43771392107,0.26491316010997684,1.793
6,C0001552_SEG_UNCOMP,0.22022589205981866,0.012596237103056998,0.8435983845720001,0.871392266303,0.249356247792,0.121399998665,1.82099997997,0.31400592588000004,0.08907301479260002,0.121399998665,0.728399991989,0.29603843706148764,1.913
1,C0001560_SEG_UNCOMP,0.17559145735595605,0.019020769162283253,0.924291164588,0.827808976392,0.2800034957,0.121399998665,1.73818349838,0.254101181698,0.0662427227588,0.121399998665,0.500545024872,0.10632094641073866,2.012
2,C0001560_SEG_UNCOMP,0.16268536103739298,0.02718604968100617,0.822275983472,0.958311541073,0.396297442378,0.121399998665,2.0637998580900003,0.257825157676,0.061390680581,0.121399998665,0.515056550503,0.19309826422487483,2.058
3,C0001560_SEG_UNCOMP,0.14275315381035636,0.03133132698373359,0.66678261783,1.22360814059,0.5253778805529999,0.121399998665,3.17037677765,0.27613101466400003,0.07101034494939999,0.121399998665,0.556324720383,0.2640415758082632,2.063
4,C0001560_SEG_UNCOMP,0.21507068560001005,-0.006452768161550652,1.0036211497,0.735594208349,0.243789238268,0.121399998665,1.5403933525100002,0.26079770735999996,0.0593755144814,0.121399998665,0.48559999465899994,0.15171403893822777,1.851
