Statistical Test,Variable,Variance p value,p value
t-test,BV/TV,0.41010684565412114,1.2740856727422312e-06
t-test,SMI,0.1305759616277281,5.3068294560389026e-09
t-test,Mean Tb N,0.062235842408788766,1.5422219279415117e-08
t-test,Mean Tb Th,0.8997960442823607,0.11921315612853155
Permutation test,Mean Tb Sp,0.0001533783817295742,0.009995835068721367
Permutation test,Std Tb Sp,0.0007960894143037578,0.015410245730945439
Permutation test,Coefficient of Variation,0.0038036526877286425,0.009995835068721367
t-test,Degree of Anisotropy,0.07129091481500627,0.03954533442314417
Permutation test,Log Mean Tb Sp,0.0007903704860642291,0.009579341940857976
Permutation test,Log Std Tb Sp,0.021771761338079343,0.012078300708038317
t-test,Log Coefficient of Variation,0.5822002948626276,5.338522210557884e-09
