BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3,Variation Coefficient,Group
0.0777,1.6059999999999999,31.902371615933713,45.486535070313046,132.89737321627803,16.57938595347623,24.169802349989535,20.500433664177667,0.209295218236918,0.07683849571026763,0.07215485607914117,1,C0001911_SEG_UNCOMP,0.79961,0.9159299999999999,1.28446,0.461511476464631,Control
0.0934,1.791,56.25282710871597,92.32936798536932,170.0726053948254,30.03640699409303,51.488719843166024,31.046949589923624,0.1593909641798197,0.06305806349432955,0.14083218449196275,2,C0001911_SEG_UNCOMP,0.71246,1.0112700000000001,1.27627,0.5841994963779443,Control
0.09300000000000001,1.7930000000000001,47.86622942525448,107.88493613488536,201.79278377365463,28.891926053722162,60.58117970095995,31.318338496877214,0.14437518099723115,0.053046191685780536,0.1549676361064645,3,C0001911_SEG_UNCOMP,0.7176100000000001,0.99544,1.28695,0.7416569860721284,Control
0.2381,2.002,253.52386715070148,401.35918852994405,1206.9069393864593,138.66795352832324,273.41569272850893,166.45836407233188,0.22084120514064406,0.05576477776607749,0.09948088141565088,4,C0001911_SEG_UNCOMP,0.68029,0.9576,1.36211,0.22436538351637933,Control
0.3489,1.819,676.0004838945373,1107.1377397309068,2126.33848707332,316.53321704574614,575.6672295481368,388.27410896784966,0.1917959266448533,0.09301968912733576,0.14010118040777692,5,C0001911_SEG_UNCOMP,0.7309399999999999,0.93955,1.32951,0.15208111968950702,Control
0.2945,1.819,463.23388504291154,880.8150683167491,1628.0211988711649,239.05662468940915,444.2889674090928,276.5456885775476,0.18857700694883064,0.08296890555179885,0.1424189011906715,6,C0001911_SEG_UNCOMP,0.72756,0.9487700000000001,1.3236700000000001,0.19387571014572194,Control
0.2666,2.35,307.6999658865472,908.5962244483162,1752.1458671257678,206.887065024033,516.3367053184753,217.4294250893505,0.18093481837270925,0.05531525018748962,0.1385304619426675,1,C0002184_SEG_UNCOMP,0.59087,1.02072,1.3884100000000001,0.2340588951518767,Control
0.1643,1.936,179.57151092867215,340.32208155962286,755.1132605901421,99.7165729322568,167.5135818901422,92.46100829489231,0.233102810288526,0.052319158938749666,0.11846627528652502,2,C0002184_SEG_UNCOMP,0.70253,0.9375899999999999,1.35988,0.2360247741723185,Control
0.2164,2.195,213.79822913594174,608.1096602649127,1204.7332185013925,146.30512388331272,355.4410442366805,158.02555727010323,0.1931156701366698,0.06079121411613681,0.1307336725174353,3,C0002184_SEG_UNCOMP,0.62889,0.99092,1.38019,0.17387357288271973,Control
0.2126,2.195,226.7696608656747,625.1404043235908,1188.0962498340919,141.38779885804303,367.07811998081365,158.80855351544602,0.1685027159734906,0.0689418943818369,0.1426045522564052,4,C0002184_SEG_UNCOMP,0.6266,0.99792,1.37548,0.160969843160776,Control
0.217,2.278,257.53955440166845,668.042119815028,1308.9880607153068,148.53342835075782,347.9731334584484,156.76258332066132,0.1754974382994786,0.055343699466953285,0.12797071475376046,5,C0002184_SEG_UNCOMP,0.62045,0.96598,1.41357,0.282296332688654,Control
0.1811,2.3890000000000002,157.40055430196708,420.9699456053903,1097.3140725951432,99.75794652299948,245.27997444346317,116.16445329296324,0.1945934232353461,0.04719431808008931,0.10083712690695974,6,C0002184_SEG_UNCOMP,0.61469,0.9168299999999999,1.46848,0.2734352735764386,Control
0.301,2.333,622.3422763385515,851.1920373009358,2196.9587518050944,258.2282547331749,503.7096436372116,357.6001175633063,0.2492517579488511,0.07832286144267049,0.11321812632450776,1,C0001982_SEG_UNCOMP,0.65513,0.8163199999999999,1.52855,0.15939196531395458,Control
0.2128,2.148,283.80199224585533,448.42734022167485,1305.3689871311399,137.462215483427,261.03873656373526,156.0837497154718,0.25917600496643184,0.05608134380517976,0.09623766813810784,2,C0001982_SEG_UNCOMP,0.6631,0.91284,1.42406,0.0623086767741702,Control
0.3485,2.076,786.4812102534523,1115.1320831275991,2462.0252497336332,350.9787436398145,574.8793249544641,464.59437397953116,0.2517724670243156,0.09486719372276473,0.11796854130229525,3,C0001982_SEG_UNCOMP,0.70077,0.8446100000000001,1.4546299999999999,0.11825876828435734,Control
0.1923,1.768,264.7406154113412,380.1169169905601,913.9271622455814,110.55626478583284,215.12672825603678,155.30497505336524,0.23781614551136626,0.0957486936179794,0.1223165909515436,4,C0001982_SEG_UNCOMP,0.76625,0.87902,1.35473,0.09820744920535614,Control
0.1761,1.9469999999999998,208.2940838404189,292.20089640959867,880.249493266648,101.44088278790173,206.5185747430146,128.8824331559267,0.2779696532628322,0.06452346617603273,0.10758276987537382,5,C0001982_SEG_UNCOMP,0.72153,0.8734700000000001,1.405,0.10202689930468636,Control
0.2152,1.827,316.8211532658947,583.6896498254772,1151.2163349443124,147.7351842682605,299.3654792555732,197.34983218167545,0.20139451138923625,0.0929791342191004,0.13402856690470327,6,C0001982_SEG_UNCOMP,0.74244,0.9013200000000001,1.35624,0.09214380368874664,Control
0.1918,1.923,198.21084684541896,304.272356144929,918.7155882520883,92.8753791306135,155.35795583044532,131.87626003450887,0.20937871506224826,0.06681128488155982,0.07658899334248698,1,C0001534_SEG_UNCOMP,0.7348100000000001,0.85234,1.41285,0.18552121924867387,Control
0.14,1.973,100.43582611964337,236.55068308951687,494.49950626585166,45.024591180071276,126.67617346229359,68.81798841903537,0.11385116004793536,0.059978647546517536,0.12755604526808606,2,C0001534_SEG_UNCOMP,0.68545,0.96242,1.35212,0.4018529965692317,Control
0.1739,1.7280000000000002,124.57630561492414,216.8772625252429,778.7321768861882,62.752243720931304,138.4245007121365,85.89699336978236,0.1528404131029892,0.05035685736946295,0.0836377039019219,3,C0001534_SEG_UNCOMP,0.73895,0.98439,1.2766600000000001,0.26583838321620445,Control
0.3438,2.045,626.0755163776066,1206.5353321430955,2229.886042027701,324.2820138267341,608.5995749259757,382.5318441604323,0.19137238129680675,0.0884655667079104,0.13603797585152275,4,C0001534_SEG_UNCOMP,0.68148,0.92456,1.39395,0.1918183289433155,Control
0.1578,1.8780000000000001,97.59469459387311,189.56411469371886,601.344018828053,71.05436755292256,127.52261381053562,68.56601962603487,0.229162565882904,0.040585984413054464,0.08607278443118553,5,C0001534_SEG_UNCOMP,0.71201,0.95065,1.33733,0.18271100580253846,Control
0.2915,2.095,385.0740720817579,825.6838680635602,1797.0864097085534,244.14279221943718,469.391057689557,285.1248856535701,0.2058051917266656,0.06971385910536337,0.12083752643747656,6,C0001534_SEG_UNCOMP,0.6688,0.92976,1.40144,0.2498262504857449,Control
0.2818,1.7619999999999998,645.3618933127111,896.8406713482581,1889.5222773522119,275.34227091295503,398.0699081144919,339.66528268829694,0.2265458427519046,0.09954552119284782,0.10604817103611598,1,C0001585_SEG_UNCOMP,0.7711100000000001,0.87003,1.35886,0.16203470670554135,Control
0.1937,2.18,275.6716564039524,467.38683639618864,1131.3391265142616,128.17640190409642,309.23505686796227,148.86717028481485,0.2425913107179541,0.05934950170177832,0.12824363892623367,2,C0001585_SEG_UNCOMP,0.65051,0.9315399999999999,1.41795,0.14901693994890175,Control
0.2421,2.051,301.94812989464856,734.1016089441317,1395.8371676547185,184.3457706984192,444.1212102359504,207.6892897426437,0.1934942324885533,0.06851151259647158,0.156540881945661,3,C0001585_SEG_UNCOMP,0.65755,0.9941200000000001,1.34833,0.11660529446201287,Control
0.1293,2.076,167.30269378204082,222.8852784833644,698.727494819685,52.97350197114791,150.29500408569834,83.83471050073425,0.2177178766007017,0.05998625991419261,0.10741633949724436,4,C0001585_SEG_UNCOMP,0.6883100000000001,0.88279,1.4289,0.17966852178418585,Control
0.2672,1.84,599.5748538741423,721.1175915185753,1784.838603362839,294.9056475000471,375.8485563557558,334.79135541994924,0.3129155110991001,0.0863879819060718,0.1040030769421034,5,C0001585_SEG_UNCOMP,0.76212,0.8354,1.40248,0.233039988561016,Control
0.2062,2.1719999999999997,244.5529455759121,606.2485537176768,1248.774998349256,136.91542252124515,367.9775637193965,161.65026229722628,0.1808088256383885,0.06358220865224369,0.14278114904236336,6,C0001585_SEG_UNCOMP,0.64083,0.96729,1.39188,0.15535231801325922,Control
0.3013,2.023,634.5352889471045,759.6421362217658,1999.3757294376312,263.94806421543814,424.32043939374466,386.1939282343184,0.282691035971311,0.0914463436937722,0.10408255419257352,1,C0002215_SEG_UNCOMP,0.72831,0.79864,1.47306,0.17514263018237095,Control
0.2867,2.204,404.2564080402927,889.6046391264651,1787.3057397013226,243.9138314310241,541.1646528074059,276.1948898384079,0.20218907795730987,0.07333252976143123,0.15349546224282345,2,C0002215_SEG_UNCOMP,0.64089,0.9467399999999999,1.41238,0.16554896524934073,Control
0.2322,1.9780000000000002,321.12727934587207,498.70438591598395,1329.2420852584526,176.98863398455967,300.5047481260072,199.47909712708358,0.2720415107199664,0.06613409283115057,0.10358921882858434,3,C0002215_SEG_UNCOMP,0.70804,0.8917200000000001,1.40024,0.08817647075918296,Control
0.2406,2.001,403.5373437470844,494.78198822460035,1465.1056006476008,183.92206714630882,308.205786052616,233.39530659654872,0.28188044242280463,0.07567020996047343,0.0965480705387078,4,C0002215_SEG_UNCOMP,0.71597,0.85126,1.43277,0.1708524567961317,Control
0.2508,2.015,376.5915719356482,558.4639095970546,1429.5275794047418,182.0392249543097,365.62070306353036,206.46548616138043,0.25115811823649603,0.06500299969521328,0.13746954793141872,5,C0002215_SEG_UNCOMP,0.69021,0.9191600000000001,1.39063,0.14978753040918408,Control
0.2054,2.258,229.86378107603988,412.99182237059637,1202.2814437288341,133.38676715203275,259.3461226972915,145.2816162772599,0.2479722205933635,0.0541144495947994,0.0972031267086083,6,C0002215_SEG_UNCOMP,0.6502100000000001,0.88181,1.46799,0.1102078693085109,Control
0.1706,1.837,212.34511738649863,269.0469337683957,768.5841513902817,74.4668058165201,160.18047740528522,129.3075921033523,0.20652601059947745,0.07607877978818871,0.10233682730563183,1,C0002033_SEG_UNCOMP,0.7581600000000001,0.8491,1.3927399999999999,0.13959240278188098,Control
0.2546,2.398,313.47742363722773,776.0011428365608,1601.162084094898,171.81859594015157,485.2874517258657,198.6388209805844,0.19460266209681665,0.055873213765130124,0.13724886982544462,2,C0002033_SEG_UNCOMP,0.5817399999999999,1.02338,1.39488,0.13371560911811098,Control
0.2431,2.103,334.66089873629414,740.3179434235533,1542.5195119618666,173.69356263494663,412.5972533869426,184.79794208601035,0.1682880231562029,0.055879929563846235,0.12484964415254525,3,C0002033_SEG_UNCOMP,0.64231,1.0072299999999998,1.35046,0.1748979425112801,Control
0.1735,1.757,183.06445926120534,260.16644933930957,670.0216330680754,89.95692579665749,149.63103800933146,110.75863838934069,0.25397973186507994,0.08149580455947854,0.09269378547337333,4,C0002033_SEG_UNCOMP,0.7672100000000001,0.88485,1.3479299999999999,0.14991283354828727,Control
0.1293,1.661,117.83167908981704,147.55727312156247,531.6065889189126,57.94624836027614,105.52170756142122,72.13675680090294,0.2816493388056541,0.045653564965774655,0.10397093760532536,5,C0002033_SEG_UNCOMP,0.80495,0.8579,1.3371600000000001,0.2637765101165926,Control
0.22,1.771,300.1986736058817,480.5099818962783,1205.3073158587144,172.530050291136,298.972725573078,213.85864502488968,0.2698205451370588,0.07439460414750296,0.11595141934593273,6,C0002033_SEG_UNCOMP,0.76556,0.87851,1.3559299999999999,0.2597814182403794,Control
0.0352,1.952,15.737515515009733,21.21178743114648,99.7524969361424,9.888483049846425,10.748967551823874,9.220520502228487,0.2870046228931906,0.04252691913626218,0.03321457808962542,1,C0001950_SEG_UNCOMP,0.72618,0.856,1.41782,0.7396745547959457,Control
0.1402,2.371,90.02967939021806,233.596083861515,617.7295722442061,55.78100402979478,139.16628902531673,73.76438859028707,0.13796799201205262,0.049942449565012,0.10145068829060072,2,C0001950_SEG_UNCOMP,0.6138100000000001,0.9311,1.45509,0.42821020997005466,Control
0.12,2.285,68.67997540237015,137.53347533132256,493.43107392564315,46.724078734884564,100.30299926270864,56.39212400327232,0.2368809688063072,0.03869297476938322,0.08009908492410242,3,C0001950_SEG_UNCOMP,0.64505,0.8811100000000001,1.47384,0.5022860304154279,Control
0.2071,2.463,132.33771032433015,392.257105960688,1160.6210181953818,92.56324343084994,276.85523415308467,113.973331922612,0.16935576399927826,0.04651111893954943,0.09830989474947067,4,C0001950_SEG_UNCOMP,0.58381,0.9781700000000001,1.43803,0.1610779541316582,Control
0.071,2.148,25.73329027678067,46.100677424812524,209.05935786680908,15.59562977759268,36.7778939593048,22.35270242934289,0.2107772515149208,0.032241841174642606,0.0599214895529559,5,C0001950_SEG_UNCOMP,0.6706,0.8890899999999999,1.44031,0.8038223862057784,Control
0.0808,2.314,39.68057560508397,116.48085683262647,313.7417902538025,28.5668427216786,76.12790536897239,32.788242954698745,0.1553183156736618,0.03299529148540102,0.10762970943200297,6,C0001950_SEG_UNCOMP,0.62526,0.9277299999999999,1.4470100000000001,0.8379346328238076,Control
0.1756,2.012,144.49130489941118,230.3220629578051,698.3815751821144,73.05204824163378,143.2864043801631,83.69790340576091,0.2229016948754096,0.05086877337233015,0.08820555170332994,1,C0001560_SEG_UNCOMP,0.67629,0.96296,1.36074,0.10632094641073866,Control
0.1627,2.0580000000000003,110.37148837053965,222.71502477108336,624.6969781902128,58.95468172466877,151.57608916897482,73.45572216279905,0.1736012298663214,0.05252070250841818,0.1093349430454914,2,C0001560_SEG_UNCOMP,0.67992,0.9208700000000001,1.39921,0.1930982642248749,Control
0.1428,2.063,83.30721132251034,216.6504749992897,631.3018577616098,59.45960080075465,133.07861553663258,67.7980411046734,0.2118134236523604,0.049307112744669285,0.08138364129190856,3,C0001560_SEG_UNCOMP,0.66994,0.9481700000000001,1.38189,0.2640415758082632,Control
0.2151,1.851,199.55132419878743,407.8652632095399,960.8804459827298,103.91728402307736,221.34342782197467,129.37781833163598,0.18390851254001256,0.061530364894321676,0.11205045011327956,4,C0001560_SEG_UNCOMP,0.7257600000000001,0.9306,1.34364,0.15171403893822774,Control
0.3109,2.051,417.2877986510663,1270.5554068478546,1744.5792865090432,244.27341022784591,525.3277230573692,252.19538945378798,0.13402283043946886,0.0643754050946487,0.16388748043709406,5,C0001560_SEG_UNCOMP,0.64671,1.02685,1.32644,0.24186103749991705,Control
0.2694,2.062,321.76182195458097,941.2312137521477,1446.9152903666532,181.97020195750167,387.8186304703242,206.93303238503572,0.12640888870886222,0.06372466360921411,0.13974348573495934,6,C0001560_SEG_UNCOMP,0.66174,0.9735,1.36477,0.17936147985745302,Control
0.2859,2.144,436.23323386111986,1037.7898487479993,1931.3583032772376,217.64193525507716,521.0594785016954,278.42707602311594,0.15566919313192096,0.06972675094964698,0.1408164779860636,1,C0001904_SEG_UNCOMP,0.65007,0.9563200000000001,1.39361,0.15092004331261838,Control
0.1211,1.8519999999999999,97.78467970890772,133.71689236686876,571.409884443017,49.22613557985457,86.9350321289592,63.46728008920914,0.23016397236473995,0.04946138285650725,0.06784306774743774,2,C0001904_SEG_UNCOMP,0.75145,0.8565,1.39205,0.3007528580183902,Control
0.1297,1.834,112.83684317531048,138.92438468968413,639.5563948688183,53.966397680105906,99.87308983248356,76.19886696016795,0.2636049610154516,0.056303334663416624,0.07049914857440716,3,C0001904_SEG_UNCOMP,0.77181,0.8124399999999999,1.41575,0.3089680198756356,Control
0.1388,1.858,116.57519878637301,245.54069473036026,517.3692297832416,74.79167823152689,124.11991606179913,77.30154653787257,0.2298762676326171,0.06712622214874339,0.09422872295460064,4,C0001904_SEG_UNCOMP,0.71801,0.94771,1.33428,0.2821287698709759,Control
