BV/TV,Degree of Anisotropy,ROI Number,Scan,Variation Coefficient
0.0723,1.771,1,310101_C0000118_SEG_UNCOMP,0.5443958783192407
0.0398,1.728,2,310101_C0000118_SEG_UNCOMP,0.9352888551680374
0.1711,1.769,3,310101_C0000118_SEG_UNCOMP,0.22005148034569966
0.0795,1.883,4,310101_C0000118_SEG_UNCOMP,0.2674421420847708
0.0705,2.147,5,310101_C0000118_SEG_UNCOMP,0.4046453816375042
0.0736,2.318,6,310101_C0000118_SEG_UNCOMP,0.3983833935540597
0.0731,2.098,1,310201_C0000160_SEG_UNCOMP,0.4957050190193321
0.1069,1.611,2,310201_C0000160_SEG_UNCOMP,0.5661146603764029
0.1306,1.964,3,310201_C0000160_SEG_UNCOMP,0.4527752297311391
0.0923,1.955,4,310201_C0000160_SEG_UNCOMP,0.25660187019649044
0.0736,2.068,5,310201_C0000160_SEG_UNCOMP,0.5350536633526363
0.124,1.631,6,310201_C0000160_SEG_UNCOMP,0.3895253680227587
0.2062,2.038,1,350104_C0000094_SEG_UNCOMP,0.1807440238221159
0.272,2.498,2,350104_C0000094_SEG_UNCOMP,0.1696248988316364
0.2538,2.3,3,350104_C0000094_SEG_UNCOMP,0.10136519974660181
0.1118,1.956,4,350104_C0000094_SEG_UNCOMP,0.36417971747348765
0.0802,2.041,5,350104_C0000094_SEG_UNCOMP,0.5105145886454405
0.1939,2.326,6,350104_C0000094_SEG_UNCOMP,0.27255688327620753
0.1385,1.864,1,350107_C0000104_SEG_UNCOMP,0.148983712157421
0.1593,1.813,2,350107_C0000104_SEG_UNCOMP,0.16916727329662393
0.1668,2.188,3,350107_C0000104_SEG_UNCOMP,0.2033290417169159
0.1128,1.85,4,350107_C0000104_SEG_UNCOMP,0.28691035472339477
0.083,1.883,5,350107_C0000104_SEG_UNCOMP,0.14805175197965253
0.1098,2.042,6,350107_C0000104_SEG_UNCOMP,0.34003656190698966
0.0815,1.861,1,350108_C0000130_SEG_UNCOMP,0.24755087433629802
0.1871,2.113,2,350108_C0000130_SEG_UNCOMP,0.09635123848274084
0.072,1.848,3,350108_C0000130_SEG_UNCOMP,0.21407424030423444
0.2166,2.096,4,350108_C0000130_SEG_UNCOMP,0.07785052387266099
0.1395,2.173,5,350108_C0000130_SEG_UNCOMP,0.2882465258336233
0.1124,2.065,6,350108_C0000130_SEG_UNCOMP,0.3997786887334564
0.2025,2.411,1,350201_C0000066_SEG_UNCOMP,0.19138041732070837
0.2412,2.314,2,350201_C0000066_SEG_UNCOMP,0.07969731226999616
0.0635,1.86,3,350201_C0000066_SEG_UNCOMP,0.3135653850151883
0.1511,2.106,4,350201_C0000066_SEG_UNCOMP,0.18231619382092654
0.1195,2.194,5,350201_C0000066_SEG_UNCOMP,0.17101723490083331
0.2322,2.568,6,350201_C0000066_SEG_UNCOMP,0.13482588091527425
0.2653,1.672,1,350202_C0000070_SEG_UNCOMP,0.1379792843072665
0.207,1.617,2,350202_C0000070_SEG_UNCOMP,0.21361477287728511
0.1813,2.001,3,350202_C0000070_SEG_UNCOMP,0.38172339778033737
0.1274,1.938,4,350202_C0000070_SEG_UNCOMP,0.24418865233798295
0.1231,1.965,5,350202_C0000070_SEG_UNCOMP,0.26086433507283824
0.2625,1.993,6,350202_C0000070_SEG_UNCOMP,0.19098664385434802
0.0818,1.943,1,350203_C0000099_SEG_UNCOMP,0.30817403896301643
0.0932,1.851,2,350203_C0000099_SEG_UNCOMP,0.25708953715054905
0.0868,1.877,3,350203_C0000099_SEG_UNCOMP,0.411999220523732
0.1455,1.992,4,350203_C0000099_SEG_UNCOMP,0.29406297891350236
0.0955,1.776,5,350203_C0000099_SEG_UNCOMP,0.3736109506957892
0.0869,1.947,6,350203_C0000099_SEG_UNCOMP,0.3515341910072576
0.1461,2.138,1,350205_C0000112_SEG_UNCOMP,0.38554781471747396
0.1588,2.06,2,350205_C0000112_SEG_UNCOMP,0.12362060092792078
0.223,2.122,3,350205_C0000112_SEG_UNCOMP,0.21535662849716977
