index,BV/TV,Degree of Anisotropy,ROI Number,Scan,Variation Coefficient,Group
507,0.1735,1.757,4,C0002033_SEG_UNCOMP,0.14991283354828727,0
330,0.1048,1.9569999999999999,1,C0001856_SEG_UNCOMP,0.1427773244793427,0
629,0.2054,2.056,6,C0002152_SEG_UNCOMP,0.15897643020290927,0
325,0.28300000000000003,2.438,2,C0001852_SEG_UNCOMP,0.1318295332240028,0
336,0.2526,2.299,1,C0001862_SEG_UNCOMP,0.1481718035663435,0
576,0.1372,1.855,1,C0002104_SEG_UNCOMP,0.19831567916752127,0
312,0.1543,1.839,1,C0001839_SEG_UNCOMP,0.13948660704478594,0
306,0.163,2.181,1,C0001831_SEG_UNCOMP,0.25439735019966536,0
679,0.1008,1.8330000000000002,2,C0002198_SEG_UNCOMP,0.1993557701446817,0
197,0.191,2.1,6,C0001702_SEG_UNCOMP,0.19446337563300692,0
143,0.2197,2.094,6,C0001653_SEG_UNCOMP,0.13512440497688688,0
411,0.2163,2.364,4,C0001944_SEG_UNCOMP,0.09494479107937988,0
681,0.1384,2.15,4,C0002198_SEG_UNCOMP,0.2232193435887952,0
114,0.1111,2.154,1,C0001624_SEG_UNCOMP,0.18137718859327184,0
75,0.2544,2.452,4,C0001566_SEG_UNCOMP,0.12394887943354413,0
290,0.2635,1.651,3,C0001814_SEG_UNCOMP,0.2007440441676588,0
181,0.2048,1.64,2,C0001691_SEG_UNCOMP,0.19623608599579545,0
630,0.136,1.96,1,C0002156_SEG_UNCOMP,0.2025474584892956,0
297,0.122,1.983,4,C0001821_SEG_UNCOMP,0.2578510535983407,0
687,0.2598,2.003,4,C0002202_SEG_UNCOMP,0.12019708886391693,0
67,0.1627,2.0580000000000003,2,C0001560_SEG_UNCOMP,0.19309826422487486,0
650,0.2272,2.113,3,C0002173_SEG_UNCOMP,0.2053089430820073,0
335,0.1003,2.256,6,C0001856_SEG_UNCOMP,0.07861092783266851,0
333,0.1544,2.265,4,C0001856_SEG_UNCOMP,0.13106162738256918,0
569,0.1621,2.0469999999999997,6,C0002094_SEG_UNCOMP,0.1879706641672539,0
581,0.1239,2.081,6,C0002104_SEG_UNCOMP,0.1600101188232574,0
263,0.1972,1.931,6,C0001785_SEG_UNCOMP,0.2240124422875956,0
204,0.2553,1.923,1,C0001735_SEG_UNCOMP,0.0936480439720645,0
179,0.2327,1.9180000000000001,6,C0001684_SEG_UNCOMP,0.07724948739738942,0
622,0.3257,1.871,5,C0002147_SEG_UNCOMP,0.048390927403854936,0
74,0.0659,1.702,3,C0001566_SEG_UNCOMP,0.239971752971608,0
611,0.2457,1.9569999999999999,6,C0002136_SEG_UNCOMP,0.10410060451342226,0
61,0.2584,2.0140000000000002,2,C0001552_SEG_UNCOMP,0.26252424088938675,0
1,0.1363,1.6780000000000002,2,C0001406_SEG_UNCOMP,0.1853910455683938,0
127,0.2929,2.0,2,C0001641_SEG_UNCOMP,0.0978081603467509,0
129,0.1973,1.834,4,C0001641_SEG_UNCOMP,0.1884101581148081,0
160,0.2586,1.858,5,C0001667_SEG_UNCOMP,0.14998851160962387,0
659,0.156,1.713,6,C0002177_SEG_UNCOMP,0.1687293462052738,0
66,0.1756,2.012,1,C0001560_SEG_UNCOMP,0.10632094641073866,0
571,0.1264,1.712,2,C0002099_SEG_UNCOMP,0.23147702491189925,0
93,0.3105,2.241,4,C0001592_SEG_UNCOMP,0.12574278460895502,0
542,0.1441,1.5619999999999998,3,C0002062_SEG_UNCOMP,0.1195150738797362,0
412,0.1987,2.175,5,C0001944_SEG_UNCOMP,0.15467347319782854,0
295,0.2306,1.921,2,C0001821_SEG_UNCOMP,0.2390392592093405,0
527,0.2853,2.084,6,C0002050_SEG_UNCOMP,0.0762330828183761,0
316,0.1781,2.34,5,C0001839_SEG_UNCOMP,0.08966346635339892,0
417,0.2071,2.463,4,C0001950_SEG_UNCOMP,0.1610779541316582,0
658,0.1309,1.82,5,C0002177_SEG_UNCOMP,0.14542894191565792,0
249,0.2658,2.084,4,C0001776_SEG_UNCOMP,0.1284914127157857,0
496,0.1614,1.906,5,C0002023_SEG_UNCOMP,0.12607254626343226,0
200,0.2185,1.9880000000000002,3,C0001724_SEG_UNCOMP,0.0630289356093535,0
275,0.2092,2.205,6,C0001799_SEG_UNCOMP,0.1643948537424657,0
626,0.1977,2.171,3,C0002152_SEG_UNCOMP,0.24094118583976604,0
54,0.1776,2.095,1,C0001546_SEG_UNCOMP,0.2629510288445375,0
188,0.1457,1.845,3,C0001696_SEG_UNCOMP,0.21437579018157388,0
586,0.2367,2.1519999999999997,5,C0002110_SEG_UNCOMP,0.17106050920381488,0
456,0.2863,1.9969999999999999,1,C0001993_SEG_UNCOMP,0.10749391681485608,0
273,0.2535,2.1790000000000003,4,C0001799_SEG_UNCOMP,0.13693460411850328,0
645,0.2583,2.185,4,C0002167_SEG_UNCOMP,0.15950107381410852,0
184,0.1444,1.935,5,C0001691_SEG_UNCOMP,0.14918341933577514,0
274,0.23600000000000002,2.289,5,C0001799_SEG_UNCOMP,0.09828569241347858,0
267,0.1338,1.993,4,C0001792_SEG_UNCOMP,0.204616575480446,0
87,0.1293,2.076,4,C0001585_SEG_UNCOMP,0.17966852178418585,0
5,0.1446,1.7469999999999999,6,C0001406_SEG_UNCOMP,0.2551178793926466,0
367,0.1845,1.768,2,C0001890_SEG_UNCOMP,0.2476751563920262,0
225,0.3955,2.318,4,C0001753_SEG_UNCOMP,0.15526034701652852,0
