index,BV/TV,Degree of Anisotropy,ROI Number,Scan,Variation Coefficient,Group
2,0.1711,1.7690000000000001,3,310101_C0000118_SEG_UNCOMP,0.22005148034569968,1
9,0.0923,1.955,4,310201_C0000160_SEG_UNCOMP,0.25660187019649044,1
12,0.2062,2.0380000000000003,1,350104_C0000094_SEG_UNCOMP,0.1807440238221159,1
13,0.272,2.498,2,350104_C0000094_SEG_UNCOMP,0.1696248988316364,1
14,0.2538,2.3,3,350104_C0000094_SEG_UNCOMP,0.1013651997466018,1
18,0.1385,1.864,1,350107_C0000104_SEG_UNCOMP,0.14898371215742098,1
19,0.1593,1.8130000000000002,2,350107_C0000104_SEG_UNCOMP,0.16916727329662393,1
20,0.1668,2.188,3,350107_C0000104_SEG_UNCOMP,0.2033290417169159,1
22,0.083,1.883,5,350107_C0000104_SEG_UNCOMP,0.14805175197965253,1
25,0.1871,2.113,2,350108_C0000130_SEG_UNCOMP,0.09635123848274084,1
27,0.2166,2.096,4,350108_C0000130_SEG_UNCOMP,0.07785052387266099,1
30,0.2025,2.411,1,350201_C0000066_SEG_UNCOMP,0.1913804173207084,1
33,0.1511,2.106,4,350201_C0000066_SEG_UNCOMP,0.18231619382092654,1
34,0.1195,2.194,5,350201_C0000066_SEG_UNCOMP,0.17101723490083331,1
35,0.2322,2.568,6,350201_C0000066_SEG_UNCOMP,0.13482588091527425,1
36,0.2653,1.672,1,350202_C0000070_SEG_UNCOMP,0.1379792843072665,1
37,0.207,1.617,2,350202_C0000070_SEG_UNCOMP,0.21361477287728511,1
39,0.1274,1.9380000000000002,4,350202_C0000070_SEG_UNCOMP,0.2441886523379829,1
40,0.1231,1.965,5,350202_C0000070_SEG_UNCOMP,0.26086433507283824,1
41,0.2625,1.993,6,350202_C0000070_SEG_UNCOMP,0.190986643854348,1
49,0.1588,2.06,2,350205_C0000112_SEG_UNCOMP,0.12362060092792078,1
50,0.223,2.122,3,350205_C0000112_SEG_UNCOMP,0.21535662849716974,1
54,0.1092,2.286,1,350206_C0000126_SEG_UNCOMP,0.22433836319787928,1
56,0.1336,2.312,3,350206_C0000126_SEG_UNCOMP,0.22747981428201786,1
60,0.1603,2.015,1,350207_C0000137_SEG_UNCOMP,0.20839308241228532,1
62,0.1215,2.059,3,350207_C0000137_SEG_UNCOMP,0.2612244255110981,1
