BVTV,DA,ROI Number,Scan,m1,m2,m3,Variation Coefficient,Group,OI Type,S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66
0.0777,1.6059999999999999,1,C0001911_SEG_UNCOMP,0.79961,0.9159299999999999,1.28446,0.461511476464631,Control,,35.37686069377281,11.549701767889694,13.758620805691285,11.549701767889694,49.959831409189036,14.229169115263467,13.758620805691285,14.229169115263467,140.30107761390803,24.169802349989535,20.500433664177667,16.57938595347623
0.0934,1.791,2,C0001911_SEG_UNCOMP,0.71246,1.0112700000000001,1.27627,0.5841994963779443,Control,,60.14037682663572,18.006060860834765,16.136656596223617,18.006060860834765,101.22147067326789,29.691255182481388,16.13665659622361,29.691255182481374,180.85139588855805,51.48871984316604,31.04694958992362,30.036406994093028
0.09300000000000001,1.7930000000000001,3,C0001911_SEG_UNCOMP,0.7176100000000001,0.99544,1.28695,0.7416569860721284,Control,,51.58488049337158,19.447215138585204,17.172879591203174,19.447215138585204,120.29039180551155,39.2161620528594,17.172879591203174,39.21616205285942,217.0002922168396,60.58117970095996,31.318338496877214,28.89192605372216
0.2381,2.002,4,C0001911_SEG_UNCOMP,0.68029,0.9576,1.36211,0.22436538351637933,Control,,283.85633261469206,110.01169513409565,108.26457798033773,110.01169513409565,456.3058874889651,165.70590610122832,108.26457798033773,165.70590610122846,1285.2178175740505,273.41569272850893,166.45836407233193,138.66795352832327
0.3489,1.819,5,C0001911_SEG_UNCOMP,0.7309399999999999,0.93955,1.32951,0.15208111968950702,Control,,757.194466035937,279.4217424523923,296.73320113163345,279.4217424523923,1253.6221305749546,419.07390383675255,296.73320113163345,419.07390383675255,2325.9219144069,575.6672295481375,388.27410896784914,316.53321704574626
0.2945,1.819,6,C0001911_SEG_UNCOMP,0.72756,0.9487700000000001,1.3236700000000001,0.19387571014572194,Control,,521.4598626600156,216.76107192752332,209.11235763088598,216.76107192752332,1005.2261387912043,327.8160075351103,209.11235763088598,327.8160075351103,1775.2891293478829,444.28896740909283,276.5456885775473,239.0566246894089
0.2666,2.35,1,C0002184_SEG_UNCOMP,0.59087,1.02072,1.3884100000000001,0.2340588951518767,Control,,355.67068208449615,213.44497928272986,169.05080619116725,213.4449792827297,1071.6058396482756,353.50416481089314,169.05080619116725,353.50416481089314,1899.8304080866276,516.3367053184751,217.42942508935056,206.88706502403306
0.1643,1.936,2,C0002184_SEG_UNCOMP,0.70253,0.9375899999999999,1.35988,0.2360247741723185,Control,,206.57272693299913,99.74856537745153,71.66676928013702,99.74856537745153,399.4261142830797,126.93659015456868,71.66676928013702,126.93659015456868,804.2463648149346,167.5135818901422,92.46100829489234,99.71657293225678
0.2164,2.195,3,C0002184_SEG_UNCOMP,0.62889,0.99092,1.38019,0.17387357288271973,Control,,251.30540327867027,154.5239193691961,126.10677403079448,154.5239193691961,724.4361684716667,240.56014403020473,126.10677403079448,240.56014403020473,1310.2360557573518,355.4410442366801,158.02555727010315,146.30512388331266
0.2126,2.195,4,C0002184_SEG_UNCOMP,0.6266,0.99792,1.37548,0.160969843160776,Control,,259.2774939764581,139.17225410512597,131.3704879612846,139.17225410512597,724.9763755893163,246.75512551901429,131.3704879612846,246.75512551901429,1302.4240186038073,367.0781199808135,158.80855351544602,141.38779885804308
