Data set,Data type,Factor,L0,L0_CI,L0p,L0p_CI,Model,Mu0,Mu0_CI,R2,SE,k,k_CI,l,l_CI
Filtered,Grouped,Group,4437.0,"[4242, 4641]",2702.0,"[2621, 2784]",Individual fit,3540.0,"[3430, 3655]",0.937,0.26,1.898,"[1.879, 1.916]",0.949,"[0.931, 0.968]"
Filtered,Control,Group,4523.0,"[4436, 4612]",2845.0,"[2818, 2873]",Individual fit,3652.0,"[3602, 3703]",0.843,,1.898,"[1.879, 1.916]",0.949,"[0.931, 0.968]"
Filtered,Test,Group,4332.0,"[4247, 4418]",2528.0,"[2503, 2553]",Individual fit,3404.0,"[3356, 3451]",0.85,,1.898,"[1.879, 1.916]",0.949,"[0.931, 0.968]"
Filtered,Grouped,Group,4567.0,"[4368, 4775]",2767.0,"[2685, 2851]",Standard model,3637.0,"[3524, 3753]",0.939,0.255,1.918,"[1.9, 1.937]",0.951,"[0.932, 0.969]"
Filtered,Control,Group,4672.0,"[4450, 4906]",2939.0,"[2524, 2688]",Standard model,3772.0,"[3388, 3630]",0.939,0.255,1.918,"[1.9, 1.937]",0.951,"[0.932, 0.969]"
Filtered,Test,Group,4463.0,"[4250, 4686]",2605.0,"[2848, 3033]",Standard model,3507.0,"[3644, 3905]",0.939,0.255,1.918,"[1.9, 1.937]",0.951,"[0.932, 0.969]"
Filtered,Grouped,Group,4371.0,"[4318, 4425]",2613.0,"[2472, 2762]",Mixed-effect,3465.0,"[3312, 3625]",0.966,0.191,1.885,"[1.864, 1.906]",0.954,"[0.94, 0.968]"
Filtered,Control,Group,4427.0,"[4362, 4494]",2736.0,"[2699, 2774]",Mixed-effect,3558.0,"[3521, 3596]",0.966,0.191,1.885,"[1.864, 1.906]",0.954,"[0.94, 0.968]"
Filtered,Test,Group,4316.0,"[4252, 4381]",2495.0,"[2461, 2529]",Mixed-effect,3375.0,"[3339, 3410]",0.966,0.191,1.885,"[1.864, 1.906]",0.954,"[0.94, 0.968]"
Complete,Grouped,Group,3373.0,"[3199, 3557]",1987.0,"[1811, 2180]",Mixed-effect,2689.0,"[2482, 2913]",0.883,0.472,1.716,"[1.687, 1.746]",0.989,"[0.958, 1.021]"
Complete,Control,Group,3321.0,"[3106, 3551]",2055.0,"[1941, 2175]",Mixed-effect,2682.0,"[2557, 2813]",0.883,0.472,1.716,"[1.687, 1.746]",0.989,"[0.958, 1.021]"
Complete,Test,Group,3426.0,"[3205, 3663]",1922.0,"[1815, 2035]",Mixed-effect,2696.0,"[2570, 2828]",0.883,0.472,1.716,"[1.687, 1.746]",0.989,"[0.958, 1.021]"
Complete,Grouped,LogCV,2967.0,"[2691, 3271]",1748.0,"[1636, 1867]",Mixed-effect,2365.0,"[2207, 2534]",0.884,0.47,1.641,"[1.604, 1.678]",0.989,"[0.958, 1.02]"
Complete,Control,LogCV,3047.0,"[2764, 3359]",1822.0,"[1706, 1947]",Mixed-effect,2420.0,"[2258, 2593]",0.884,0.47,1.641,"[1.604, 1.678]",0.989,"[0.958, 1.02]"
Complete,Test,LogCV,2888.0,"[2620, 3184]",1676.0,"[1569, 1791]",Mixed-effect,2310.0,"[2156, 2476]",0.884,0.47,1.641,"[1.604, 1.678]",0.989,"[0.958, 1.02]"
