BVTV,DA,E1,E2,E3,Mu12,Mu23,Mu31,Nu12,Nu13,Nu23,ROI Number,Scan,m1,m2,m3,Variation Coefficient
0.2152,1.915,187.90726936516091,525.374207866343,884.377528578094,117.39311310438336,285.60757763155993,127.74000019107449,0.13523754106555327,0.07305573874431663,0.15992244168736164,1,C0001406_SEG_UNCOMP,0.6583,1.08107,1.26062,0.21088264366362552
0.1363,1.6780000000000002,119.3386853493494,226.90446039935568,402.747210043882,57.354209362724845,122.92065204181438,59.68212019168706,0.14908943458865978,0.062346583205221365,0.15677923125613313,2,C0001406_SEG_UNCOMP,0.73725,1.02583,1.23692,0.1853910455683938
0.1801,1.531,211.2215355643246,248.39065083217838,697.7766493285469,96.21618348227925,138.19746121878546,139.78443427108638,0.2737146388298013,0.10139312392371452,0.0826266707865675,3,C0001406_SEG_UNCOMP,0.83216,0.8938,1.27404,0.18845118921221146
0.1989,1.6440000000000001,228.46109585359244,455.44385421857817,837.330147849789,127.13433489018736,206.22327797776938,124.82654561167344,0.1769347173730994,0.07162783414497632,0.11510430174780965,4,C0001406_SEG_UNCOMP,0.75473,1.00443,1.24084,0.21424491867608175
0.1927,1.705,239.2475800546569,401.3800524854746,866.023123054072,98.47006410209173,186.23471476042732,121.77698798862131,0.16313642983214852,0.0740614179602561,0.0982417675152012,5,C0001406_SEG_UNCOMP,0.75295,0.9636,1.28346,0.221315128847254
0.1446,1.7469999999999999,144.3639229775541,255.60290914659763,549.4311246751478,71.57728950596156,140.6107693920857,67.31801375595371,0.17663566091385952,0.044852810842133085,0.12753069829704253,6,C0001406_SEG_UNCOMP,0.7216600000000001,1.01785,1.2605,0.2551178793926466
0.156,1.962,135.92458257869194,490.8691858542849,760.0136045953727,87.03883992699595,206.71480533074657,77.35749178553544,0.12314877145148324,0.052364637277788416,0.13131890901261514,1,C0001415_SEG_UNCOMP,0.6611100000000001,1.04199,1.2969,0.35849130547060243
0.2162,2.002,259.69722601256336,640.1254758578154,1201.8215409709296,145.37101978753662,366.8896501054943,179.69657479915335,0.17095854018466353,0.07286377362181838,0.1490524170128961,2,C0001415_SEG_UNCOMP,0.6702199999999999,0.9882299999999999,1.34155,0.27961612014574305
0.264,1.962,416.04799538376676,969.0163246297908,1550.3355348181879,258.66055645925644,467.15019515579246,254.8678365075459,0.17489356744613882,0.08041018597859273,0.15779917550741435,3,C0001415_SEG_UNCOMP,0.67672,0.99561,1.3276700000000001,0.25811286401409944
0.3025,1.911,607.9785229248146,1396.4494665731568,1894.42701932852,329.1221970808998,557.1762054171544,351.4969983117596,0.14865381653021809,0.09056639351834148,0.16836840868504482,4,C0001415_SEG_UNCOMP,0.67396,1.03801,1.28803,0.4001038690195137
