Mean tBMD,Scan,X Shift,Y Shift,Z Shift,BV/TV
549.5394057466082,C0002033,5.0,4.0,0.0,0.1735
531.9812464933345,C0001856,4.0,4.0,0.0,0.1048
612.9294751541026,C0002152,4.0,4.0,0.0,0.2054
592.1922161567533,C0001852,4.0,4.0,0.0,0.28300000000000003
637.408061345565,C0001862,4.0,5.0,0.0,0.2526
582.7047359353093,C0002104,4.0,4.0,0.0,0.1372
579.8872430681023,C0001839,4.0,4.0,0.0,0.1543
572.6873342353775,C0001831,4.0,4.0,0.0,0.163
589.6146062031271,C0002198,4.0,4.0,0.0,0.1008
550.3232966645287,C0001702,4.0,4.0,0.0,0.191
579.8624673438587,C0001653,4.0,4.0,0.0,0.2197
566.2216469966505,C0001944,4.0,4.0,0.0,0.2163
553.3799565126346,C0002198,4.0,4.0,0.0,0.1384
584.0009205840564,C0001624,4.0,4.0,0.0,0.1111
567.9935895730326,C0001566,3.0,2.0,0.0,0.2544
542.1223851042673,C0001814,4.0,4.0,0.0,0.2635
525.4836201778204,C0001691,4.0,4.0,0.0,0.2048
552.5791513765885,C0002156,4.0,4.0,0.0,0.136
597.9763839330186,C0001821,4.0,4.0,0.0,0.122
522.9801775394177,C0002202,4.0,4.0,0.0,0.2598
551.9503291201402,C0001560,1.0,1.0,0.0,0.1627
626.9783537473787,C0002173,4.0,4.0,0.0,0.2272
535.120433286019,C0001856,4.0,4.0,0.0,0.1003
549.6718813587545,C0001856,4.0,4.0,0.0,0.1544
586.4540351414432,C0002094,4.0,4.0,0.0,0.1621
577.2539291518747,C0002104,4.0,4.0,0.0,0.1239
591.6563527053432,C0001785,4.0,4.0,0.0,0.1972
556.1321712509905,C0001735,4.0,4.0,0.0,0.2553
570.8850971958958,C0001684,4.0,4.0,0.0,0.2327
595.8908470137106,C0002147,4.0,4.0,0.0,0.3257
508.9700175743824,C0001566,3.0,2.0,0.0,0.0659
546.3993443182294,C0002136,4.0,4.0,0.0,0.2457
599.1401510064987,C0001552,1.0,1.0,0.0,0.2584
544.1701439594583,C0001406,156.0,0.0,0.0,0.1363
605.5701446024017,C0001641,4.0,4.0,0.0,0.2929
599.4338664750182,C0001641,4.0,4.0,0.0,0.1973
579.5413101348615,C0001667,4.0,4.0,0.0,0.2586
538.4748896042736,C0002177,4.0,4.0,0.0,0.156
561.5643244287992,C0001560,1.0,1.0,0.0,0.1756
514.8432288298378,C0002099,4.0,4.0,0.0,0.1264
630.9485375589587,C0001592,4.0,4.0,0.0,0.3105
516.9424770620842,C0002062,4.0,4.0,0.0,0.1441
556.3319370098003,C0001944,4.0,4.0,0.0,0.1987
655.2170764418952,C0001821,4.0,4.0,0.0,0.2306
580.1890048981297,C0002050,4.0,4.0,0.0,0.2853
616.0860378036447,C0001839,4.0,4.0,0.0,0.1781
549.2061995537972,C0001950,4.0,4.0,0.0,0.2071
521.8393377926407,C0002177,4.0,4.0,0.0,0.1309
487.30297106207934,C0002023,4.0,4.0,0.0,0.1614
544.0489947551091,C0001724,4.0,4.0,0.0,0.2185
512.9792814626488,C0001799,4.0,4.0,0.0,0.2092
564.5404445394572,C0002152,4.0,4.0,0.0,0.1977
552.8424605566212,C0001546,2.0,1.0,0.0,0.1776
531.0679362719624,C0001696,4.0,4.0,0.0,0.1457
521.2312414186284,C0002110,4.0,4.0,0.0,0.2367
520.8242073163311,C0001993,4.0,4.0,0.0,0.2863
601.2990439860154,C0001799,4.0,4.0,0.0,0.2535
608.1217826385089,C0002167,4.0,4.0,0.0,0.2583
556.5910456146697,C0001691,4.0,4.0,0.0,0.1444
567.6637591463228,C0001799,4.0,4.0,0.0,0.236
566.4056031604741,C0001792,4.0,4.0,0.0,0.1338
604.6356930059303,C0001585,5.0,4.0,0.0,0.1293
559.1448042531101,C0001406,156.0,0.0,0.0,0.1446
573.5777669964233,C0001890,4.0,4.0,0.0,0.1845
609.1731114346062,C0001753,4.0,4.0,0.0,0.3955
619.9175622956058,C0002077,4.0,4.0,0.0,0.4623
610.2051694871125,C0002221,4.0,4.0,0.0,0.3703
567.9157014496693,C0002077,4.0,4.0,0.0,0.4018
597.9604666749259,C0001753,4.0,4.0,0.0,0.3526
633.6199528202031,C0001808,4.0,4.0,0.0,0.4116
632.0971553614356,C0002173,4.0,4.0,0.0,0.2988
521.6441758835655,C0002202,4.0,4.0,0.0,0.2207
518.2812428991432,C0001566,3.0,2.0,0.0,0.2036
562.7340554154098,C0001624,4.0,4.0,0.0,0.1771
562.0220597665422,C0002198,4.0,4.0,0.0,0.175
550.7848057197343,C0001566,3.0,2.0,0.0,0.1549
547.5450728626284,C0001896,4.0,4.0,0.0,0.2025
591.7878942578268,C0002215,4.0,4.0,0.0,0.2054
536.8927035924995,C0001758,4.0,4.0,0.0,0.2011
529.7019431195145,C0001523,1.0,1.0,0.0,0.2269
571.0197994672465,C0002033,5.0,4.0,0.0,0.22
582.3740497674872,C0001927,4.0,4.0,0.0,0.2794
