Mean tBMD,Scan,X Shift,Y Shift,Z Shift
126.0,310101_C0000118,5.0,5.0,0.0
126.0,310201_C0000160,5.0,6.0,0.0
126.0,350104_C0000094,10.0,5.0,0.0
126.0,350104_C0000094,10.0,5.0,0.0
126.0,350104_C0000094,10.0,5.0,0.0
126.0,350107_C0000104,4.0,4.0,0.0
126.0,350107_C0000104,4.0,4.0,0.0
126.0,350107_C0000104,4.0,4.0,0.0
126.0,350107_C0000104,4.0,4.0,0.0
126.0,350108_C0000130,4.0,4.0,0.0
126.0,350108_C0000130,4.0,4.0,0.0
126.0,350201_C0000066,4.0,4.0,0.0
126.0,350201_C0000066,4.0,4.0,0.0
126.0,350201_C0000066,4.0,4.0,0.0
126.0,350201_C0000066,4.0,4.0,0.0
126.0,350202_C0000070,14.0,14.0,0.0
126.0,350202_C0000070,14.0,14.0,0.0
126.0,350202_C0000070,14.0,14.0,0.0
126.0,350202_C0000070,14.0,14.0,0.0
126.0,350202_C0000070,14.0,14.0,0.0
126.0,350205_C0000112,7.0,5.0,0.0
126.0,350205_C0000112,7.0,5.0,0.0
126.0,350206_C0000126,4.0,4.0,0.0
126.0,350206_C0000126,4.0,4.0,0.0
126.0,350207_C0000137,4.0,4.0,0.0
126.0,350207_C0000137,4.0,4.0,0.0
126.0,350207_C0000137,4.0,4.0,0.0
126.0,350303_C0000153,5.0,5.0,0.0
126.0,350303_C0000153,5.0,5.0,0.0
126.0,350303_C0000153,5.0,5.0,0.0
126.0,350402_C0000050,4.0,5.0,0.0
126.0,350404_C0000120,6.0,6.0,0.0
126.0,350404_C0000120,6.0,6.0,0.0
126.0,350404_C0000120,6.0,6.0,0.0
126.0,350405_C0000145,5.0,5.0,0.0
126.0,350405_C0000145,5.0,5.0,0.0
126.0,350405_C0000145,5.0,5.0,0.0
126.0,350407_C0000158,5.0,6.0,0.0
126.0,350407_C0000158,5.0,6.0,0.0
126.0,350407_C0000158,5.0,6.0,0.0
126.0,350605_C0000091,4.0,7.0,0.0
126.0,350605_C0000091,4.0,7.0,0.0
126.0,350606_C0000070,6.0,7.0,0.0
126.0,350606_C0000070,6.0,7.0,0.0
126.0,350608_C0000085,6.0,5.0,0.0
126.0,350608_C0000085,6.0,5.0,0.0
126.0,350701_C0000082,5.0,6.0,0.0
126.0,350701_C0000082,5.0,6.0,0.0
126.0,350704_C0000129,6.0,6.0,0.0
126.0,350704_C0000129,6.0,6.0,0.0
126.0,350704_C0000129,6.0,6.0,0.0
126.0,350705_C0000245,6.0,5.0,0.0
126.0,350705_C0000245,6.0,5.0,0.0
126.0,350901_C0000049,5.0,5.0,0.0
126.0,350902_C0000057,6.0,9.0,0.0
126.0,350908_C0000201,4.0,5.0,0.0
126.0,350908_C0000201,4.0,5.0,0.0
126.0,350908_C0000201,4.0,5.0,0.0
126.0,350908_C0000201,4.0,5.0,0.0
126.0,350908_C0000201,4.0,5.0,0.0
126.02231104487049,350913_C0000239,6.0,6.0,0.0
126.0,351001_C0000037,4.0,5.0,0.0
126.0,351001_C0000037,4.0,5.0,0.0
126.0,351001_C0000037,4.0,5.0,0.0
126.0,351102_C0000226,6.0,5.0,0.0
126.0,351102_C0000226,6.0,5.0,0.0
126.0,351102_C0000226,6.0,5.0,0.0
126.0,351102_C0000226,6.0,5.0,0.0
126.0,351102_C0000226,6.0,5.0,0.0
126.0,351102_C0000226,6.0,5.0,0.0
126.0,351302_C0000051,5.0,5.0,0.0
126.0,351302_C0000051,5.0,5.0,0.0
126.0,351304_C0000089,4.0,6.0,0.0
126.0,351304_C0000089,4.0,6.0,0.0
126.0,351304_C0000089,4.0,6.0,0.0
126.0,351306_C0000147,6.0,6.0,0.0
126.0,351306_C0000147,6.0,6.0,0.0
126.0,351308_C0000194,6.0,5.0,0.0
126.0,351308_C0000194,6.0,5.0,0.0
126.0,351310_C0000159,5.0,5.0,0.0
126.0,351310_C0000159,5.0,5.0,0.0
126.0,351310_C0000159,5.0,5.0,0.0
