Mean tBMD,Scan,X Shift,Y Shift,Z Shift,BV/TV
549.5140507910155,310101_C0000118,5.0,5.0,0.0,0.1711
584.6821010567894,310201_C0000160,5.0,6.0,0.0,0.0923
585.834889464088,350104_C0000094,10.0,5.0,0.0,0.2062
586.766266488095,350104_C0000094,10.0,5.0,0.0,0.272
597.4577526027851,350104_C0000094,10.0,5.0,0.0,0.2538
558.8940281420587,350107_C0000104,4.0,4.0,0.0,0.1385
601.3593530088071,350107_C0000104,4.0,4.0,0.0,0.1593
646.753877056389,350107_C0000104,4.0,4.0,0.0,0.1668
554.3664404212634,350107_C0000104,4.0,4.0,0.0,0.083
677.9352174993401,350108_C0000130,4.0,4.0,0.0,0.1871
654.3797094025101,350108_C0000130,4.0,4.0,0.0,0.2166
609.2292166891017,350201_C0000066,4.0,4.0,0.0,0.2025
561.5619585568049,350201_C0000066,4.0,4.0,0.0,0.1511
602.6421341622075,350201_C0000066,4.0,4.0,0.0,0.1195
602.2515911101551,350201_C0000066,4.0,4.0,0.0,0.2322
566.7807800240628,350202_C0000070,14.0,14.0,0.0,0.2653
538.3365194420502,350202_C0000070,14.0,14.0,0.0,0.207
550.1437336861985,350202_C0000070,14.0,14.0,0.0,0.1274
502.3298686223245,350202_C0000070,14.0,14.0,0.0,0.1231
559.1143933369756,350202_C0000070,14.0,14.0,0.0,0.2625
553.937316280746,350205_C0000112,7.0,5.0,0.0,0.1588
588.6191604474587,350205_C0000112,7.0,5.0,0.0,0.223
557.1906620359357,350206_C0000126,4.0,4.0,0.0,0.1092
546.3877555768103,350206_C0000126,4.0,4.0,0.0,0.1336
588.7220372050284,350207_C0000137,4.0,4.0,0.0,0.1603
574.5344822806497,350207_C0000137,4.0,4.0,0.0,0.1215
580.9573490419042,350207_C0000137,4.0,4.0,0.0,0.1952
549.7300008867559,350303_C0000153,5.0,5.0,0.0,0.2501
544.607468602171,350303_C0000153,5.0,5.0,0.0,0.2346
563.3072449696881,350303_C0000153,5.0,5.0,0.0,0.3164
570.1582208684997,350402_C0000050,4.0,5.0,0.0,0.0353
576.2507359536693,350404_C0000120,6.0,6.0,0.0,0.2458
606.619234705302,350404_C0000120,6.0,6.0,0.0,0.2555
559.4533464647033,350404_C0000120,6.0,6.0,0.0,0.1509
626.0450302465547,350405_C0000145,5.0,5.0,0.0,0.29600000000000004
606.944217941203,350405_C0000145,5.0,5.0,0.0,0.1935
612.8328229668493,350405_C0000145,5.0,5.0,0.0,0.2574
625.1683621264748,350407_C0000158,5.0,6.0,0.0,0.1666
592.1383539014167,350407_C0000158,5.0,6.0,0.0,0.1781
565.5614587560351,350407_C0000158,5.0,6.0,0.0,0.1164
577.481091687108,350605_C0000091,4.0,7.0,0.0,0.3106
535.5290735712384,350605_C0000091,4.0,7.0,0.0,0.1444
543.6193999032669,350606_C0000070,6.0,7.0,0.0,0.1973
575.2987399302452,350606_C0000070,6.0,7.0,0.0,0.2312
665.951155400164,350608_C0000085,6.0,5.0,0.0,0.2852
603.1910237865924,350608_C0000085,6.0,5.0,0.0,0.1668
621.8164517223762,350701_C0000082,5.0,6.0,0.0,0.1973
600.3259350161297,350701_C0000082,5.0,6.0,0.0,0.1303
622.1831493072482,350704_C0000129,6.0,6.0,0.0,0.1613
606.1543338766173,350704_C0000129,6.0,6.0,0.0,0.2162
664.2960729729698,350704_C0000129,6.0,6.0,0.0,0.2067
585.9658342136613,350705_C0000245,6.0,5.0,0.0,0.1984
597.7663572856562,350705_C0000245,6.0,5.0,0.0,0.1815
681.5177699482202,350901_C0000049,5.0,5.0,0.0,0.1467
583.5133686875762,350902_C0000057,6.0,9.0,0.0,0.2407
626.9193794953138,350908_C0000201,4.0,5.0,0.0,0.2898
599.3575144680318,350908_C0000201,4.0,5.0,0.0,0.2536
633.302351481149,350908_C0000201,4.0,5.0,0.0,0.2605
585.1159886200547,350908_C0000201,4.0,5.0,0.0,0.1383
638.471178305083,350908_C0000201,4.0,5.0,0.0,0.2454
579.8717387193641,350913_C0000239,6.0,6.0,0.0,0.135
593.5992526659612,351001_C0000037,4.0,5.0,0.0,0.13
555.2648400706487,351001_C0000037,4.0,5.0,0.0,0.1438
636.6972879166708,351001_C0000037,4.0,5.0,0.0,0.1847
640.2179624529489,351102_C0000226,6.0,5.0,0.0,0.395
649.6620277583195,351102_C0000226,6.0,5.0,0.0,0.4546
606.5947617085293,351102_C0000226,6.0,5.0,0.0,0.3715
609.2180814171016,351102_C0000226,6.0,5.0,0.0,0.4539
600.9821548707182,351102_C0000226,6.0,5.0,0.0,0.3534
604.7382504174387,351102_C0000226,6.0,5.0,0.0,0.4402
569.4409339135891,351302_C0000051,5.0,5.0,0.0,0.2915
590.7264267389213,351302_C0000051,5.0,5.0,0.0,0.222
584.0015985950054,351304_C0000089,4.0,6.0,0.0,0.1982
576.0050000056451,351304_C0000089,4.0,6.0,0.0,0.1779
559.2364852528002,351304_C0000089,4.0,6.0,0.0,0.16699999999999998
574.9308086871182,351306_C0000147,6.0,6.0,0.0,0.1567
570.7725904842107,351306_C0000147,6.0,6.0,0.0,0.202
554.7203236794294,351308_C0000194,6.0,5.0,0.0,0.1982
568.7620508222378,351308_C0000194,6.0,5.0,0.0,0.2084
626.4711259732371,351310_C0000159,5.0,5.0,0.0,0.2252
637.1617896226063,351310_C0000159,5.0,5.0,0.0,0.2232
663.504490281781,351310_C0000159,5.0,5.0,0.0,0.2774
